player,position,beerSheets_proj_pts,espn_proj_pts,fantasyData_proj_pts,ffToday_proj_pts,cbs_proj_pts,scout_proj_pts,numberFire_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,fantasySharks_proj_pts
Titans,DST,,95.4,85.0,95.0,155,84.0,123.3,98.1339963751699,99.47,89.7,91.3
Jets,DST,,94.3,78.0,60.0,133,87.0,112.58,80.42363842319891,95.33,84.1,62.2
Chiefs,DST,,94.0,118.0,129.0,188,128.0,156.12,111.29707748074301,98.95,104.2,125.3
Falcons,DST,,92.2,91.0,99.0,137,105.0,99.77,103.260040779338,103.99,100.8,111.6
Rob Gronkowski,TE,3.854480283157895,156.5,156.3,144.0,129,173.0,169.15,151.62264373061,149.852,170.3,136.72
Travis Kelce,TE,2.6331612142105256,131.9,127.8,141.5,109,152.8,132.47,129.39986380781798,131.088,133.0,123.28
Greg Olsen,TE,2.24235859263158,145.3,142.4,132.5,110,124.0,137.01,132.09022268011,118.406,141.4,120.1
Jordan Reed,TE,2.0893322968421058,129.6,128.5,123.5,109,138.5,130.09,130.06522624660101,134.959,149.8,131.42
Jimmy Graham,TE,1.8219803131578944,117.4,112.9,127.5,115,152.0,111.16,125.15783388061199,106.42,165.8,115.81
Tyler Eifert,TE,1.43687507,92.6,92.0,110.5,90,147.0,130.74,104.110303363113,106.193,110.3,119.9
Kyle Rudolph,TE,1.1220264157894737,114.1,110.0,104.6,105,100.0,109.63,114.33673564492202,132.191,116.3,110.51
Delanie Walker,TE,0.8615507378947367,104.4,100.5,105.5,81,100.0,115.06,103.67603860255801,100.194,113.8,114.06
Zach Ertz,TE,0.7542830047368423,103.9,101.1,108.5,98,108.6,106.33,107.158865808676,126.855,102.0,102.16
Martellus Bennett,TE,0.680733672631579,96.7,91.0,108.5,97,107.0,107.52,102.620989833826,77.37,129.8,98.56
Hunter Henry,TE,0.6796250900000002,96.7,95.6,108.5,83,120.5,86.34,97.09682301785948,45.64100000000001,123.4,108.11
Eric Ebron,TE,0.09215473526315794,93.4,94.0,90.4,96,105.5,100.11,91.71523316155859,90.138,85.9,81.87
Jack Doyle,TE,-0.05350446526315784,90.7,86.7,91.3,68,101.0,93.71,87.37033917590341,73.956,98.4,95.5
Coby Fleener,TE,-0.3009011657894737,92.0,86.9,92.5,79,95.0,84.34,84.3546536522705,66.915,93.1,72.95
Jason Witten,TE,-0.6127136557894737,94.7,90.6,92.5,73,86.9,82.83,85.08488122550159,88.21799999999998,74.0,79.2
