player,position,my_proj,posRank,VOR,flexRank,flexVOR
Jimmy Graham,TE,93.57559237035026,5.0,10.608323207588768,83.0,3.520290247948992
Drew Brees,QB,262.9377802538101,3.0,10.450639250684475,,10.450639250684475
Matt Forte,RB,111.26371747730515,32.0,9.19859533741402,51.0,21.208415354903877
Brandon Marshall,WR,97.51717119812209,34.0,9.1336762060633,78.0,7.461869075720813
Rex Burkhead,RB,110.6168425781573,33.0,8.551720438266173,52.0,20.56154045575603
Ameer Abdullah,RB,110.47053196061924,34.0,8.40540982072811,53.0,20.415229838217968
Matt Ryan,QB,260.4372254878374,4.0,7.950084484711766,,7.950084484711766
Jonathan Stewart,RB,109.74649295793476,35.0,7.681370818043632,56.0,19.69119083553349
Mike Wallace,WR,95.88831086250632,35.0,7.50481587044753,81.0,5.833008740105043
Kyle Rudolph,TE,89.76035546962696,6.0,6.793086306865462,92.0,-1.0
Terrance West,RB,108.74596467181591,36.0,6.680842531924782,58.0,18.69066254941464
Tevin Coleman,RB,108.5326446736578,37.0,6.467522533766669,60.0,18.477342551256527
Russell Wilson,QB,258.2726259448637,5.0,5.785484941738076,,5.785484941738076
Broncos,DST,126.31363829336777,2.0,5.511947053295842,,5.511947053295842
Eric Decker,WR,93.70324635538674,36.0,5.319751363327953,82.0,3.6479442329854663
DeVante Parker,WR,93.45934869621672,37.0,5.075853704157936,84.0,3.4040465738154495
Sammy Watkins,WR,93.06236070311978,38.0,4.678865711060993,85.0,3.007058580718507
Donte Moncrief,WR,92.53803369997587,39.0,4.154538707917084,86.0,2.4827315775745973
Zach Ertz,TE,87.05865996985662,7.0,4.091390807095124,99.0,-3.701695499770338
Ted Ginn,WR,92.39194276176674,40.0,4.008447769707956,87.0,2.33664063936547
Duke Johnson,RB,105.99099585141741,38.0,3.925873711526279,64.0,15.935693729016137
Tyler Eifert,TE,86.15265683021049,8.0,3.1853876674489925,104.0,-4.607698639416469
Andrew Luck,QB,255.05711842515225,6.0,2.569977422026625,,2.569977422026625
Delanie Walker,TE,84.42322549882452,9.0,1.455956336063025,106.0,-6.337129970802437
Chiefs,DST,121.8456455334404,3.0,1.043954293368472,,1.043954293368472
